"sample","scientific","maxn","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment","id"
"13RC12","total.abundance",55,"2014-12_Geographe.Bay_stereoBRUVs",-33.3743667,115.3668167,20141213,13:25:00,"Geographe.Bay","Fished","NA",31.3,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC12"
"13RC13","total.abundance",20,"2014-12_Geographe.Bay_stereoBRUVs",-33.3754833,115.3631167,20141213,13:31:00,"Geographe.Bay","Fished","NA",31.1,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC13"
"13RC15","total.abundance",73,"2014-12_Geographe.Bay_stereoBRUVs",-33.3768333,115.3559333,20141213,13:39:00,"Geographe.Bay","Fished","NA",32.5,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC15"
"13RC2","total.abundance",49,"2014-12_Geographe.Bay_stereoBRUVs",-33.49485,115.45595,20141213,06:27:00,"Geographe.Bay","Fished","NA",13.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC2"
"13RC3","total.abundance",77,"2014-12_Geographe.Bay_stereoBRUVs",-33.4839333,115.45155,20141213,08:00:00,"Geographe.Bay","Fished","NA",13.6,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC3"
"13RC4","total.abundance",53,"2014-12_Geographe.Bay_stereoBRUVs",-33.4993833,115.3964667,20141213,08:30:00,"Geographe.Bay","Fished","NA",19.5,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC4"
"13RC5","total.abundance",69,"2014-12_Geographe.Bay_stereoBRUVs",-33.4839333,115.4656167,20141213,10:05:00,"Geographe.Bay","Fished","NA",26.8,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC5"
"13RC6","total.abundance",24,"2014-12_Geographe.Bay_stereoBRUVs",-33.3809667,115.3892333,20141213,13:07:00,"Geographe.Bay","Fished","NA",29.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC6"
"13RC7","total.abundance",19,"2014-12_Geographe.Bay_stereoBRUVs",-33.3774333,115.38605,20141213,13:10:00,"Geographe.Bay","Fished","NA",29.5,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC7"
"13RC8","total.abundance",23,"2014-12_Geographe.Bay_stereoBRUVs",-33.3726,115.3791,20141213,13:14:00,"Geographe.Bay","Fished","NA",30.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC8"
"13RC9","total.abundance",26,"2014-12_Geographe.Bay_stereoBRUVs",-33.3730667,115.3747833,20141213,13:18:00,"Geographe.Bay","Fished","NA",30.9,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC9"
"14","total.abundance",57,"2014-12_Geographe.Bay_stereoBRUVs",-33.5296667,115.4130333,20141213,05:56:00,"Geographe.Bay","Fished","NA",13.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.14"
"143","total.abundance",170,"2014-12_Geographe.Bay_stereoBRUVs",-33.5761667,115.2367,20141215,13:24:00,"Geographe.Bay","Fished","NA",23.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.143"
"144","total.abundance",22,"2014-12_Geographe.Bay_stereoBRUVs",-33.5342333,115.4323167,20141216,15:37:00,"Geographe.Bay","Fished","NA",12.3,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.144"
"15","total.abundance",37,"2014-12_Geographe.Bay_stereoBRUVs",-33.5782333,115.2147833,20141212,06:27:00,"Geographe.Bay","Fished","NA",26.2,"laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.15"
"151","total.abundance",38,"2014-12_Geographe.Bay_stereoBRUVs",-33.4768,115.4328833,20141216,09:12:00,"Geographe.Bay","Fished","NA",17.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.151"
"154","total.abundance",40,"2014-12_Geographe.Bay_stereoBRUVs",-33.6033667,115.19675,20141215,10:58:00,"Geographe.Bay","Fished","NA",13.6,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.154"
"16","total.abundance",13,"2014-12_Geographe.Bay_stereoBRUVs",-33.3889,115.4986167,20141211,12:21:00,"Geographe.Bay","Fished","NA",20,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.16"
"160","total.abundance",7,"2014-12_Geographe.Bay_stereoBRUVs",-33.6033667,115.2477833,20141216,15:24:00,"Geographe.Bay","Fished","NA",13.8,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.160"
"167","total.abundance",43,"2014-12_Geographe.Bay_stereoBRUVs",-33.4627333,115.4805667,20141216,09:25:00,"Geographe.Bay","Fished","NA",14.4,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.167"
"17","total.abundance",17,"2014-12_Geographe.Bay_stereoBRUVs",-33.3635833,115.23265,20141210,13:27:00,"Geographe.Bay","Fished","NA",38.8,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.17"
"170","total.abundance",22,"2014-12_Geographe.Bay_stereoBRUVs",-33.54165,115.3698333,20141216,13:39:00,"Geographe.Bay","Fished","NA",15.8,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.170"
"175","total.abundance",36,"2014-12_Geographe.Bay_stereoBRUVs",-33.5518167,115.12275,20141215,06:34:00,"Geographe.Bay","Fished","NA",28.5,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.175"
"176","total.abundance",86,"2014-12_Geographe.Bay_stereoBRUVs",-33.59,115.1290667,20141215,06:59:00,"Geographe.Bay","Fished","NA",15.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.176"
"18","total.abundance",117,"2014-12_Geographe.Bay_stereoBRUVs",-33.3926,115.0981333,20141210,07:44:00,"Geographe.Bay","Fished","NA",42.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.18"
"183","total.abundance",81,"2014-12_Geographe.Bay_stereoBRUVs",-33.5687667,115.2488,20141215,13:29:00,"Geographe.Bay","Fished","NA",22.6,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.183"
"19","total.abundance",12,"2014-12_Geographe.Bay_stereoBRUVs",-33.4605,115.3618,20141213,10:33:00,"Geographe.Bay","Fished","NA",26,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.19"
"192","total.abundance",34,"2014-12_Geographe.Bay_stereoBRUVs",-33.4273167,115.5755833,20141214,11:19:00,"Geographe.Bay","Fished","NA",4.9,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.192"
"196","total.abundance",88,"2014-12_Geographe.Bay_stereoBRUVs",-33.5098167,115.4045,20141216,12:49:00,"Geographe.Bay","Fished","NA",15.9,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.196"
"199","total.abundance",114,"2014-12_Geographe.Bay_stereoBRUVs",-33.5975167,115.2108833,20141215,10:53:00,"Geographe.Bay","Fished","NA",15.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.199"
"2","total.abundance",61,"2014-12_Geographe.Bay_stereoBRUVs",-33.4405333,115.10095,20141210,06:29:00,"Geographe.Bay","Fished","NA",40.5,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.2"
"20","total.abundance",59,"2014-12_Geographe.Bay_stereoBRUVs",-33.4338667,115.2221167,20141210,11:09:00,"Geographe.Bay","Fished","NA",36,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.20"
"202","total.abundance",18,"2014-12_Geographe.Bay_stereoBRUVs",-33.5779333,115.4117167,20141217,06:04:00,"Geographe.Bay","Fished","NA",9.8,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.202"
"207","total.abundance",25,"2014-12_Geographe.Bay_stereoBRUVs",-33.5738333,115.23165,20141212,08:06:00,"Geographe.Bay","Fished","NA",23.3,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.207"
"208","total.abundance",18,"2014-12_Geographe.Bay_stereoBRUVs",-33.3873,115.5742333,20141214,11:03:00,"Geographe.Bay","Fished","NA",7.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.208"
"21","total.abundance",5,"2014-12_Geographe.Bay_stereoBRUVs",-33.3857167,115.39765,20141214,06:54:00,"Geographe.Bay","Fished","NA",15.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.21"
"215","total.abundance",25,"2014-12_Geographe.Bay_stereoBRUVs",-33.6065667,115.2241167,20141215,10:45:00,"Geographe.Bay","Fished","NA",14.1,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.215"
"218","total.abundance",57,"2014-12_Geographe.Bay_stereoBRUVs",-33.5954833,115.3030667,20141217,09:46:00,"Geographe.Bay","Fished","NA",14.7,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.218"
"22","total.abundance",40,"2014-12_Geographe.Bay_stereoBRUVs",-33.57455,115.1806667,20141209,07:10:00,"Geographe.Bay","Fished","NA",22.6,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.22"
"224","total.abundance",29,"2014-12_Geographe.Bay_stereoBRUVs",-33.4189,115.5035833,20141216,06:59:00,"Geographe.Bay","Fished","NA",16.5,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.224"
"23","total.abundance",13,"2014-12_Geographe.Bay_stereoBRUVs",-33.5041833,115.4289333,20141216,11:29:00,"Geographe.Bay","Fished","NA",13.6,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.23"
"234","total.abundance",3,"2014-12_Geographe.Bay_stereoBRUVs",-33.6031667,115.3602167,20141217,10:03:00,"Geographe.Bay","Fished","NA",9.3,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.234"
"236","total.abundance",10,"2014-12_Geographe.Bay_stereoBRUVs",-33.4949167,115.4766833,20141216,10:45:00,"Geographe.Bay","Fished","NA",13.1,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.236"
"24","total.abundance",11,"2014-12_Geographe.Bay_stereoBRUVs",-33.47115,115.2861667,20141209,06:05:00,"Geographe.Bay","Fished","NA",29.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.24"
"240","total.abundance",67,"2014-12_Geographe.Bay_stereoBRUVs",-33.4387833,115.4684667,20141216,08:56:00,"Geographe.Bay","Fished","NA",18.9,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.240"
"247","total.abundance",76,"2014-12_Geographe.Bay_stereoBRUVs",-33.5561,115.1345167,20141215,06:30:00,"Geographe.Bay","Fished","NA",26.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.247"
"25","total.abundance",113,"2014-12_Geographe.Bay_stereoBRUVs",-33.3833333,115.0827833,20141210,07:10:00,"Geographe.Bay","Fished","NA",42.5,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.25"
"250","total.abundance",14,"2014-12_Geographe.Bay_stereoBRUVs",-33.5628167,115.4223667,20141216,15:17:00,"Geographe.Bay","Fished","NA",10,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.250"
"256","total.abundance",52,"2014-12_Geographe.Bay_stereoBRUVs",-33.4083167,115.4774833,20141214,13:12:00,"Geographe.Bay","Fished","NA",11.1,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.256"
"26","total.abundance",79,"2014-12_Geographe.Bay_stereoBRUVs",-33.5500333,115.3236167,20141212,11:02:00,"Geographe.Bay","Fished","NA",20.5,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.26"
"267","total.abundance",21,"2014-12_Geographe.Bay_stereoBRUVs",-33.5707,115.1362,20141215,06:22:00,"Geographe.Bay","Fished","NA",23.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.267"
"27","total.abundance",56,"2014-12_Geographe.Bay_stereoBRUVs",-33.5463667,115.1883833,20141209,07:00:00,"Geographe.Bay","Fished","NA",28.2,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.27"
"270","total.abundance",22,"2014-12_Geographe.Bay_stereoBRUVs",-33.52045,115.4206,20141213,06:00:00,"Geographe.Bay","Fished","NA",13.7,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.270"
"271","total.abundance",93,"2014-12_Geographe.Bay_stereoBRUVs",-33.5937,115.2133167,20141212,06:06:00,"Geographe.Bay","Fished","NA",27.3,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.271"
"272","total.abundance",52,"2014-12_Geographe.Bay_stereoBRUVs",-33.3815,115.4879333,20141214,08:37:00,"Geographe.Bay","Fished","NA",11.7,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.272"
"279","total.abundance",18,"2014-12_Geographe.Bay_stereoBRUVs",-33.5011833,115.4379167,20141216,11:32:00,"Geographe.Bay","Fished","NA",14.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.279"
"28","total.abundance",49,"2014-12_Geographe.Bay_stereoBRUVs",-33.42715,115.2872833,20141211,07:07:00,"Geographe.Bay","Fished","NA",34,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.28"
"282","total.abundance",27,"2014-12_Geographe.Bay_stereoBRUVs",-33.5571833,115.3322333,20141217,08:02:00,"Geographe.Bay","Fished","NA",18.2,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.282"
"287","total.abundance",95,"2014-12_Geographe.Bay_stereoBRUVs",-33.5940333,115.2189,20141215,10:50:00,"Geographe.Bay","Fished","NA",16.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.287"
"288","total.abundance",23,"2014-12_Geographe.Bay_stereoBRUVs",-33.4709833,115.4775833,20141216,09:29:00,"Geographe.Bay","Fished","NA",14.3,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.288"
"29","total.abundance",67,"2014-12_Geographe.Bay_stereoBRUVs",-33.4869667,115.1764,20141209,10:30:00,"Geographe.Bay","Fished","NA",34.3,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.29"
"295","total.abundance",8,"2014-12_Geographe.Bay_stereoBRUVs",-33.5555333,115.46605,20141216,15:50:00,"Geographe.Bay","Fished","NA",2.5,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.295"
"298","total.abundance",33,"2014-12_Geographe.Bay_stereoBRUVs",-33.5825167,115.1301333,20141215,06:56:00,"Geographe.Bay","Fished","NA",18.1,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.298"
"3","total.abundance",69,"2014-12_Geographe.Bay_stereoBRUVs",-33.4920833,115.3549,20141213,08:41:00,"Geographe.Bay","Fished","NA",24.8,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.3"
"30","total.abundance",18,"2014-12_Geographe.Bay_stereoBRUVs",-33.42405,115.33405,20141211,06:37:00,"Geographe.Bay","Fished","NA",31.8,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.30"
"304","total.abundance",127,"2014-12_Geographe.Bay_stereoBRUVs",-33.5958333,115.1453667,20141215,10:17:00,"Geographe.Bay","Fished","NA",13.7,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.304"
